company_name,country_code,country_name,hs_chapter,hs_description,trade_type,top_products,partner_countries,contact_email,contact_phone
ao eyr astana,KZ,Kazakhstan,88,"Aircraft, spacecraft, and parts thereof",exporter,"Under-carriages and parts thereof, for aircraft, n.e.s.|Parts of aeroplanes or helicopters, n.e.s. (excl. those for gliders)|Aeroplanes and other powered aircraft of an of an unladen weight > 15.000 kg (excl. helicopters and dirigibles)","Türkiye|Hong Kong SAR, China|Switzerland",,
indamer aviation,IN,India,88,"Aircraft, spacecraft, and parts thereof",exporter,"Parts of aeroplanes or helicopters, n.e.s. (excl. those for gliders)|Parts of aircraft and spacecraft, n.e.s.|Ground flying trainers and parts thereof, n.e.s. (excl. air combat simulators and parts thereof)",Maldives|Australia|France,,
jet lite (india),IN,India,88,"Aircraft, spacecraft, and parts thereof",exporter,"Parts of aeroplanes or helicopters, n.e.s. (excl. those for gliders)|Parts of aircraft and spacecraft, n.e.s.",Singapore|Austria|China,,
m/s triveni hi-tech,IN,India,88,"Aircraft, spacecraft, and parts thereof",exporter,"Parts of aeroplanes or helicopters, n.e.s. (excl. those for gliders)",,,
m/s federal express,IN,India,88,"Aircraft, spacecraft, and parts thereof",exporter,"Parts of aeroplanes or helicopters, n.e.s. (excl. those for gliders)|Under-carriages and parts thereof, for aircraft, n.e.s.|Parts of aircraft and spacecraft, n.e.s.",,,
titan,IN,India,88,"Aircraft, spacecraft, and parts thereof",exporter,"Parts of aeroplanes or helicopters, n.e.s. (excl. those for gliders)|Parts of aircraft and spacecraft, n.e.s.",India|Germany|Nepal,,
m/s mahindra aerostructures,IN,India,88,"Aircraft, spacecraft, and parts thereof",exporter,"Parts of aeroplanes or helicopters, n.e.s. (excl. those for gliders)",,,
m/s cim tools,IN,India,88,"Aircraft, spacecraft, and parts thereof",exporter,"Parts of aeroplanes or helicopters, n.e.s. (excl. those for gliders)|Aeroplanes and other powered aircraft of an unladen weight <= 2.000 kg (excl. helicopters and dirigibles)",,,
m/s tata advanced materials,IN,India,88,"Aircraft, spacecraft, and parts thereof",exporter,"Parts of aeroplanes or helicopters, n.e.s. (excl. those for gliders)|Parts of aircraft and spacecraft, n.e.s.",,,
tov ayeros,UA,Ukraine,88,"Aircraft, spacecraft, and parts thereof",exporter,"Balloons and dirigibles; gliders, hang gliders and other non-powered aircraft|Parts of aircraft and spacecraft, n.e.s.|Aeroplanes and other powered aircraft of an unladen weight <= 2.000 kg (excl. helicopters and dirigibles)",Kazakhstan|Nepal|Japan,,
